ResponseID,Career,ProgramDescr,Major,DormFlag,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q2.g,Q2.h,Q2.i,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q4.1.a,Q4.1.b,Q4.1.c,Q4.1.d,Q4.2,Q4.3,Q4.4,Q4.5.a,Q4.5.b,Q4.5.c,Q4.5.d,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5
R_cIukaBxWIz4HPoN,LAW,Juris Master,Juris Master,2,3,7,4,4,5,3,2,6,6,6,6,6,4,7,4,4,6,7,7,7,6,6,3,2,3,3,3,4,4,4,4,4,4,3,3,2,1,1,3,2
R_aY5QzA5awHx4uSV,PUBH,Master of Public Health,Prevention Science,2,5,5,3,2,1,2,2,5,5,4,6,6,5,6,5,5,6,7,7,6,4,6,6,6,4,4,1,3,5,4,4,3,3,3,2,2,4,3,3,2
R_1LtycIbDwCwNdxr,LAW,Juris Master,Juris Master,2,5,6,5,1,6,1,1,5,7,5,1,7,4,5,2,2,7,7,7,4,5,7,5,7,5,5,5,4,5,4,5,5,5,1,1,2,3,4,4,2
R_3g9T97lhWf5y4N7,PUBH,Master of Public Health,Prevention Science,2,5,5,2,1,7,2,1,3,7,7,4,7,5,5,6,6,6,6,6,6,6,6,4,6,3,3,3,3,4,4,4,4,4,4,2,2,1,2,4,2
R_6XRXJQV9eC3lnBX,UNUR,Bachelor of Science in Nursing,Nursing,2,6,6,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,8,6,3
R_6omT79tYTbD0nFX,LAW,Juris Master,Juris Master,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3NLl8Un8pzU0YsZ,GSAS,Doctor of Philosophy,Epidemiology,2,5,5,5,2,3,2,4,5,6,5,5,5,6,7,6,5,7,7,7,7,5,6,6,7,2,2,2,4,3,4,3,3,2,1,1,2,7,5,4,2
R_2aE8anFEZf0Ndhp,THEO,Master of Divinity,Divinity,2,5,3,6,7,2,1,1,6,2,3,7,7,4,6,3,2,4,5,5,2,6,2,1,2,3,4,1,2,2,2,1,4,4,1,1,2,5,5,3,2
R_8HrjFdDMJgtC5yB,PUBH,Non-Degree Public Health,Special Standing Student,2,4,4,4,4,4,4,4,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,5,5,3,5,4,5,5,5,5,5,5,2,8,8,1,2
R_8i7OEW74HieXX3D,GSAS,Non-Degree Graduate School,Special Standing Student,2,6,6,6,3,4,6,5,7,7,7,7,7,7,7,7,7,7,4,6,5,5,7,3,3,4,4,2,4,5,5,5,5,5,3,1,2,4,3,4,2
