ResponseID,Career,ProgramDescr,Level,AcadPlan1Name,AcadPlan1,AcadPlan1Type,DormBuilding,OrignAddrCntry,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q1.h,Q1.1,Q1.2,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q3.i,Q3.j,Q3.k,Q3.l,Q3.m,Q3.n,Q3.o,Q3.1.a,Q3.1.b,Q3.1.c,Q3.1.d,Q4.1,Q4.2,Q4.3,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5a,Q5.5.b,Q5.5.c,Q5.5.d,Q5.5.e
R_1hSuHrC1DdYZMdr,PUBH,Non-Degree Public Health,ND Grad,Special Standing Student,SPECSTSPH,Non-Degree,No Dorm,USA,7,3,3,5,2,1,1,1,2,3,7,6,4,6,3,3,5,5,5,0,5,0,5,5,5,0,5,4,5,5,5,1,0,0,1,3,0,0,1,3,2,3,1,0,0,0,0
R_2rI5qDwVomtsTlp,GSAS,Doctor of Philosophy,Adv Stdng,Epidemiology,EPIDPHD,Major,No Dorm,USA,6,5,4,2,5,1,1,1,4,4,5,4,2,7,7,5,5,4,0,4,0,0,5,0,0,4,5,0,0,4,3,1,0,0,0,2,0,4,1,7,5,4,1,0,0,0,0
R_273AzwKtvp03URK,LAW,Juris Master,Graduate,Juris Master,LAWJM,Major,No Dorm,USA,6,6,6,3,6,6,2,5,3,3,5,5,5,1,5,5,3,4,3,3,4,3,4,2,4,3,2,3,3,3,3,1,1,1,0,2,0,1,1,3,3,3,1,0,0,0,0
R_Zq7j83GLp4hiohj,GSAS,Doctor of Philosophy,Full Stdng,Behavioral Sciences & Hlth Edu,SPHBSHEPHD,Major,No Dorm,USA,7,3,6,3,5,5,5,5,3,3,7,7,7,7,5,4,3,3,5,5,5,5,3,5,5,5,3,5,5,3,5,1,1,1,0,2,0,6,1,5,5,3,1,0,0,0,0
R_qF7GuAvFfWLkKSR,THEO,Master of Divinity,Prof 2,Divinity,MDVDIVIN,Major,No Dorm,USA,4,3,6,7,2,1,1,2,2,2,4,3,1,7,1,4,5,3,4,4,4,3,5,0,5,3,4,0,5,2,5,1,1,0,0,2,0,2,1,4,5,3,1,0,0,0,0
R_DnUdzdWmbmk7nkl,PUBH,Master of Public Health,Grad Yr 2,Applied Pub Health Informatics,APHIMPH,Major,No Dorm,USA,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,2,0,1,1,8,8,1,1,0,0,0,0
R_3g0BnHHyHT3HZUA,GBUS,Evening MBA,Grad Yr 1,Business Administration,BUSMBAEV,Major,No Dorm,USA,6,6,5,3,4,3,4,5,5,5,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,0,1,1,4,3,4,1,0,0,0,0
R_3nNHA18n34uHvdQ,THEO,Master of Religion and Pub Lif,Grad Yr 2,Master of Relgion and Pub Life,RELPLFMRPL,Major,No Dorm,USA,3,3,5,1,5,1,1,1,3,3,4,4,3,4,2,3,0,0,4,0,4,4,5,4,5,5,0,0,5,5,3,1,0,0,0,2,0,1,1,4,1,3,1,0,0,0,0
R_2ymh2gWQVaHt25V,GBUS,Evening MBA,Grad Yr 1,Business Administration,BUSMBAEV,Major,No Dorm,USA,5,7,6,1,1,1,4,5,2,2,6,2,1,5,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,2,0,1,1,1,3,4,1,0,0,0,0
R_qOZvaR3DjIt1AtP,PUBH,Master of Public Health,Grad Yr 2,Prevention Science,PSMPH,Major,No Dorm,USA,7,7,6,4,6,5,6,6,5,3,7,7,7,7,6,7,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,1,1,0,0,2,0,2,1,5,5,3,1,0,0,0,0
R_2ZEaXvPXhRFEgr5,PUBH,Master of Public Health,Grad Yr 2,Applied Pub Health Informatics,APHIMPH,Major,No Dorm,USA,7,3,7,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_xyGRkzlHdhSpaJb,GNUR,Doctorate of Nursing Practice,Grad Yr 1,Health Systems Leadership,NRHSLD,Major,No Dorm,USA,3,3,6,6,6,1,1,1,3,2,3,3,1,4,1,1,1,3,2,1,1,3,3,3,4,2,1,1,1,2,0,1,1,1,1,2,0,2,1,5,5,4,1,0,0,0,0
R_1KcHDhukEwvqjPT,GSAS,Non-Degree Graduate School,ND Grad,Special Standing Student,SPECSTGSAS,Non-Degree,No Dorm,USA,7,7,7,7,7,6,6,5,5,5,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,1,1,0,0,0,0,0,,,,,0,0,0,0,0
R_1mKR5O3sODuFxuK,PUBH,Master of Public Health,Grad Yr 2,Prevention Science,PSMPH,Major,No Dorm,USA,5,5,6,2,3,1,1,2,4,3,7,5,5,5,4,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_3EzBQ2ZqA8vrvrF,LAW,Juris Master,Graduate,Juris Master,LAWJM,Major,No Dorm,USA,3,6,6,6,2,3,2,3,5,5,6,4,3,7,5,3,4,4,5,5,0,0,5,5,3,3,2,5,0,0,5,1,0,0,0,2,0,2,2,4,2,3,1,0,0,0,0
