ResponseID,Finished,Career,ProgramDescr,Level,AcadPlan1Name,AcadPlan1,AcadPlan1Type,DormBuilding,OrignAddrCntry,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q1.h,Q1.1,Q1.2,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q3.i,Q3.j,Q3.k,Q3.l,Q3.m,Q3.n,Q3.o,Q3.1.a,Q3.1.b,Q3.1.c,Q3.1.d,Q4.1,Q4.2,Q4.3,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5.a,Q5.5.b,Q5.5.c,Q5.5.d,Q5.5.e
R_3PTRwz3ANxOmKUZ,Survey Complete,THEO,Non-Degree Theology,ND Prof,Special Standing Student,SPECSTTHEO,Non-Degree,No Dorm,USA,6,6,6,3,3,4,5,6,5,4,6,6,5,6,6,5,3,5,5,5,0,5,4,4,0,4,4,5,5,5,5,1,1,0,1,2,0,1,1,1,3,4,1,0,0,0,0
R_2uEZlOYDNFxz6z8,Survey Complete,THEO,Doctor of Ministry,Grad Yr 2,Chrch Leadrship & Comm Witness,CHLDCMWTDM,Major,No Dorm,USA,5,3,2,1,2,1,1,1,1,1,5,5,6,6,6,6,2,5,4,5,0,3,3,3,5,4,4,3,5,1,1,1,1,0,1,2,0,1,1,5,6,4,1,0,0,0,0
R_3isSpa3Pvlk0Pfe,Survey Complete,PUBH,Master of Public Health,Grad Yr 2,Prevention Science,PSMPH,Major,No Dorm,USA,5,5,5,2,3,1,1,3,3,4,5,5,3,5,4,4,4,4,5,4,5,0,4,5,4,0,4,4,5,4,5,1,1,1,0,2,0,4,1,1,3,6,1,0,0,0,0
R_Zk4LzcMSYKPpSIF,Survey Complete,LAW,Non-Degree Law,ND Prof,Special Standing Student,SPECSTLAW,Non-Degree,No Dorm,USA,7,3,5,1,5,1,1,1,3,3,5,3,,4,1,4,5,3,0,5,4,4,5,5,3,2,2,0,3,1,1,1,0,0,0,2,0,1,1,5,5,3,1,0,0,0,0
R_2zv7cACP8Md4yAG,Survey Complete,THEO,Doctor of Ministry,Grad Yr 2,Chrch Leadrship & Comm Witness,CHLDCMWTDM,Major,No Dorm,USA,5,5,5,6,6,5,5,6,4,3,7,7,6,6,7,7,4,4,4,5,0,4,5,4,5,5,5,4,5,4,4,1,1,1,1,2,0,2,1,5,5,3,1,0,0,0,0
R_2uDSc9mMNJNu8fE,Survey Not Complete,GNUR,Post Master's Certificate,Grad Yr 1,Family Certificate,NRFNPC,Certificat,No Dorm,USA,6,6,3,1,2,1,1,1,2,4,5,5,4,4,3,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_R38CsgCuwtHSAmd,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Epidemiology,EPIDPHD,Major,No Dorm,USA,5,4,5,2,3,1,1,2,3,3,5,3,4,4,6,5,5,5,0,0,5,5,4,4,5,4,4,4,5,4,3,1,1,0,0,2,0,5,1,7,5,4,1,0,0,0,0
R_1q2Jg3RCucWEDiN,Survey Complete,GSAS,Doctor of Philosophy,Full Stdng,Behavioral Sciences & Hlth Edu,SPHBSHEPHD,Major,No Dorm,USA,7,7,7,3,5,7,1,5,2,5,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,0,2,0,2,1,5,5,3,1,0,0,0,0
R_24I2AQ3AD0tBGkW,Survey Complete,GBUS,Evening MBA,Grad Yr 1,Business Administration,BUSMBAEV,Major,No Dorm,USA,7,5,5,3,5,3,5,5,5,5,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,1,1,1,0,2,0,2,1,4,3,4,1,0,0,0,0
R_ymBhh7zn6BzRHEd,Survey Complete,LAW,Non-Degree Law,ND Prof,Special Standing Student,SPECSTLAW,Non-Degree,No Dorm,USA,5,7,7,7,3,3,1,4,3,2,6,6,6,3,5,6,5,5,5,5,5,5,5,3,4,4,4,5,5,3,3,1,1,1,1,3,0,0,1,5,7,1,0,0,1,0,0
R_1f7abys4fAviCMg,Survey Complete,THEO,Master of Religion and Pub Lif,Grad Yr 2,Master of Relgion and Pub Life,RELPLFMRPL,Major,No Dorm,USA,5,3,3,1,3,1,1,1,3,3,4,3,3,5,1,5,0,0,4,4,2,5,4,0,5,5,0,0,4,4,2,1,0,0,0,2,0,2,1,5,4,3,1,0,0,0,0
R_6L3uB1a4eI1W00h,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Anthropology,ANTHPHD,Major,No Dorm,USA,5,3,3,3,3,1,1,1,2,2,3,5,5,5,5,5,5,4,3,4,5,4,4,4,3,2,5,5,5,4,5,1,1,1,0,2,0,5,1,7,7,0,1,0,0,0,0
R_2dL7sZ7Xo3rGQGK,Survey Complete,GNUR,Doctorate of Nursing Practice,Grad Yr 1,Population Health,NRPOP,Major,No Dorm,USA,5,5,7,1,3,1,1,1,2,4,6,5,5,5,5,5,5,5,3,5,5,3,5,5,4,3,3,3,5,5,5,1,0,1,0,2,0,1,1,3,5,4,1,0,0,0,0
R_9Wv1Ta6NPqPbjln,Survey Complete,LAW,Non-Degree Law,ND Prof,Special Standing Student,SPECSTLAW,Non-Degree,No Dorm,USA,5,3,6,2,3,1,1,1,3,2,3,4,2,5,1,2,5,4,5,4,5,5,5,4,4,5,4,5,3,5,4,1,1,0,0,3,0,0,1,4,7,3,1,0,0,0,0
R_1nYEOAS3WEKSroF,Survey Complete,GNUR,Doctorate of Nursing Practice,Grad Yr 1,Health Systems Leadership,NRHSLD,Major,No Dorm,USA,3,2,6,6,6,1,1,2,3,3,4,3,3,3,3,4,1,2,5,4,3,0,5,4,4,4,1,1,2,2,5,1,1,0,0,3,0,0,1,5,5,0,1,0,0,0,0
R_25WK3EAmZnK1bjs,Survey Complete,LAW,Juris Master,Graduate,Juris Master,LAWJM,Major,No Dorm,USA,7,7,5,1,5,3,1,,5,4,5,1,1,7,1,1,4,4,5,0,5,5,4,0,0,4,0,0,0,5,5,0,0,0,0,2,0,3,0,4,4,3,1,0,0,0,0
R_2fDrSa70evprt9E,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Political Science,POLISCIPHD,Major,No Dorm,USA,7,3,4,2,6,1,1,5,2,3,7,7,7,1,3,7,5,5,5,5,4,5,5,4,5,5,5,5,4,3,3,1,1,1,1,2,0,4,1,5,5,4,1,0,0,0,0
R_3Gr2afj4B4ql7bM,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Psychology,PSYCPHD,Major,No Dorm,USA,3,2,5,6,5,1,1,4,3,3,6,5,5,5,3,7,4,5,2,4,0,4,5,4,4,5,4,5,3,3,4,1,1,0,0,2,0,5,1,4,4,4,1,0,0,0,0
R_12osrRmHsesTHpQ,Survey Complete,PUBH,Master of Public Health,Grad Yr 2,Applied Epidemiology,APEPIMPH,Major,No Dorm,USA,7,7,5,7,5,1,1,1,4,4,5,5,3,5,3,3,4,4,5,4,0,0,5,4,0,4,4,5,4,5,0,1,1,1,1,2,0,4,1,4,1,3,1,0,0,0,0
R_9uwbZWS5ufwfFFn,Survey Complete,GBUS,Evening MBA,Grad Yr 1,Business Administration,BUSMBAEV,Major,No Dorm,USA,7,7,7,4,4,4,4,6,4,4,5,7,7,7,7,6,4,5,5,5,5,5,5,5,4,4,4,5,5,4,5,1,1,0,0,2,0,5,0,1,1,1,1,0,0,0,0
R_3MFDKbpflSGEDkJ,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,7,6,6,3,2,1,1,3,2,3,6,7,6,3,6,6,5,4,0,5,5,1,5,5,5,4,4,4,,4,4,1,1,1,1,2,0,4,1,3,4,4,0,0,1,0,0
R_1rOeiBB3TVyQaTV,Survey Complete,GSAS,Master of Science,Full Stdng,Clinical Research,CLNRSRCHMS,Major,No Dorm,USA,6,7,3,1,1,1,1,1,2,3,1,1,1,2,1,1,3,4,4,4,2,4,4,4,4,4,3,4,4,2,3,1,1,1,0,2,0,2,1,3,4,4,0,0,1,0,0
R_3JFowlbyPZ4O0e7,Survey Complete,PUBH,Master of Public Health,Grad Yr 2,Applied Pub Health Informatics,APHIMPH,Major,No Dorm,USA,7,7,6,5,7,5,5,2,5,3,6,5,5,6,6,3,5,5,4,0,0,0,0,0,5,4,0,0,5,0,5,0,1,0,0,2,0,2,1,3,1,3,1,0,0,0,0
R_3ER0dYSTJUYGPP6,Survey Complete,UNUR,Bachelor of Science in Nursing,Junior,Nursing,NRBSNAB,Major,No Dorm,CAN,7,7,7,6,6,1,5,1,3,4,5,5,5,5,5,3,5,5,0,5,5,5,5,0,5,4,0,0,5,5,4,1,0,0,1,1,1,0,0,4,2,4,0,0,1,0,0
R_2s6XlkY5gazb0qp,Survey Complete,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,5,3,6,2,3,1,2,5,3,3,7,7,7,4,6,5,5,4,5,5,5,5,5,5,5,4,5,3,5,4,2,1,1,1,0,2,0,4,0,1,3,4,1,0,0,0,0
R_ufWkoe1ZZaYMauB,Survey Complete,PUBH,Master of Public Health,Grad Yr 1,Prevention Science,PSMPH,Major,No Dorm,USA,6,6,6,6,6,6,6,6,4,4,6,6,6,6,6,6,5,5,5,5,0,0,0,0,0,0,0,5,0,5,0,1,1,0,0,2,0,2,1,1,3,4,1,0,0,0,0
R_Q5PIahDPX3QOfqV,Survey Complete,PUBH,Master of Public Health,Grad Yr 2,Prevention Science,PSMPH,Major,No Dorm,USA,7,5,6,7,3,1,1,1,3,4,7,4,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,1,1,1,2,0,2,1,3,4,4,1,0,0,0,0
R_3HYUrzkBDPrgF9v,Survey Complete,PUBH,Master of Public Health,Grad Yr 1,Behavioral Sciences/Health Ed.,BSHEMPH,Major,No Dorm,USA,7,7,5,1,3,3,1,1,3,5,5,5,4,6,4,6,4,3,1,5,4,0,5,0,3,0,4,5,0,2,2,1,1,0,0,2,0,1,1,4,4,4,1,0,0,0,0
R_3JgxePFUCUGSAkc,Survey Complete,UBUS,Non-Degree Undergrad Business,ND Ugrad,Special Standing Student,SPECSTUBUS,Non-Degree,No Dorm,USA,7,7,5,5,6,2,2,4,5,3,7,7,7,7,7,7,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,1,1,1,0,3,0,0,1,4,3,1,0,0,1,0,0
R_3ewvMtSWdgufAGW,Survey Complete,PUBH,Non-Degree Public Health,ND Grad,Special Standing Student,SPECSTSPH,Non-Degree,No Dorm,USA,6,5,5,5,6,1,1,5,2,3,5,6,6,7,5,7,4,4,4,3,5,4,5,3,4,5,4,5,4,3,3,1,1,0,0,2,0,1,1,5,4,4,1,0,0,0,0
R_uxqRYO3c9WDyU0h,Survey Complete,GSAS,Non-Degree Graduate School,ND Grad,Special Standing Student,SPECSTGSAS,Non-Degree,No Dorm,USA,7,3,6,7,2,1,1,2,3,3,6,3,2,1,2,5,5,4,0,5,4,4,5,4,4,0,5,0,0,5,3,1,1,0,0,3,0,0,0,5,5,4,1,0,0,0,0
R_2aM4UZtQWNTb3p8,Survey Complete,LAW,Juris Master,Graduate,Juris Master,LAWJM,Major,No Dorm,USA,5,3,5,1,5,1,1,1,1,1,6,6,7,2,1,4,3,3,3,5,5,0,0,0,0,0,0,0,4,1,1,1,0,0,0,2,0,1,1,1,1,3,0,0,1,0,0
