ResponseID,Finished,Career,Q3a,Q3b,Q3c,Q3d,Q3e,Q3g,Q3f,Q5Club,Q5Vol,Q5Garden,Q5Hub,Q5Farm,Q5Web,Q5Movie,Q7Grown,Q7behavior,Q7aware,Q9a,Q9b,Q9c,Q9d,Q9e,Q9f,Q9g,Q9h,Q9i,Q9j,Q9k,Q9l,Q9m,Q9n,Q11foot,Q11Bio,Q11Equity,Q11PP,Q11Goals,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Status,Level,Time,Do you consider yourself:,Highest1,Highest2,Background,Woman,Man,TransW,NonBinary,PreferNotToAnswer,TransM,Residence
R_2EFEtunR4aZcm9u,Survey Not Finished,LAW,3,4,3,2,3,2,3,,,,,1,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_PZ41XZHqZ34vc4h,Survey Finished,THEO,3,3,4,2,3,3,4,,,1,,1,,,4,4,3,1,3,1,3,3,1,1,1,1,3,3,1,3,1,4,3,3,2,3,4,3,3,3,3,3,2,0,2,2,1,1,4,1,,,,,,Off Campus
R_3HAEIwE9m8UCibX,Survey Finished,PUBH,5,5,3,5,2,1,1,,,,,1,1,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,4,2,3,3,2,2,2,0,2,1,1,3,3,1,,,,,,Off Campus
R_2fcHjiCCBpEqFdS,Survey Finished,LAW,4,4,4,2,4,1,3,,,,,1,,,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,2,5,5,5,4,4,4,2,0,4,1,3,1,4,1,,,,,,Off Campus
R_3dWVBehBABhm8IH,Survey Finished,GSAS,4,5,5,2,3,1,1,,,,,,,,3,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,3,3,4,3,1,2,5,4,4,3,5,4,2,0,6,1,5,6,4,1,,,,,,Off Campus
R_2CebefkLThPNudM,Survey Finished,GSAS,5,5,5,5,5,1,3,1,,,,1,,,3,3,5,1,1,1,3,1,1,1,1,1,3,1,1,1,1,5,5,5,2,4,5,5,5,5,5,5,2,0,4,1,5,7,3,1,,,,,,Off Campus
R_1X4cgfQVqAzhvIl,Survey Finished,LAW,4,5,4,4,3,2,2,,,,,,,,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,1,1,3,5,5,5,5,5,5,2,0,1,1,1,1,1,,1,,,,,Off Campus
R_1r1jt2Qtr9v9ikx,Survey Finished,PUBH,4,4,4,4,2,1,1,,,,,,1,,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,2,2,4,3,2,2,0,1,1,5,3,3,1,,,,,,Off Campus
R_1FRDUuEpK682Wl9,Survey Finished,PUBH,4,5,5,2,5,1,1,,,,,,,,3,3,3,1,3,1,1,1,3,1,3,1,1,1,2,1,2,5,3,4,4,5,4,4,4,4,4,4,2,0,2,1,2,2,2,1,,,,,,Off Campus
R_3Hvn1AyhkNzwupc,Survey Finished,GSAS,4,2,4,2,5,1,3,,,,,1,,,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,5,5,5,1,2,5,2,0,4,1,5,5,4,1,,,,,,Off Campus
